,customer_lifetime_value,coverage,education,effective_to_date,employmentstatus,income,location_code,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,vehicle_size,state_California,state_Nevada,state_Oregon,state_Washington,marital_status_Married,marital_status_Single,policy_Corporate L2,policy_Corporate L3,policy_Personal L1,policy_Personal L2,policy_Personal L3,policy_Special L1,policy_Special L2,policy_Special L3,renew_offer_type_Offer2,renew_offer_type_Offer3,renew_offer_type_Offer4,sales_channel_Branch,sales_channel_Call Center,sales_channel_Web,vehicle_class_Luxury Car,vehicle_class_Luxury SUV,vehicle_class_SUV,vehicle_class_Sports Car,vehicle_class_Two-Door Car,gender_M,response_Yes
0,7.924260247547156,0,2,2011-02-24,4,10.937987895736994,1,69,32,5,0,1,384.811147,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,8.850737704004343,1,2,2011-01-31,2,10.693391533191136,1,94,13,42,0,8,1131.464935,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,9.464007824722403,2,2,2011-02-19,4,10.794809133586739,1,108,18,38,0,2,566.472247,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,8.94191984281397,0,2,2011-01-20,2,10.693391533191136,1,106,18,65,0,7,529.881344,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
4,7.9422529833054405,0,2,2011-02-03,4,10.688210676583283,0,73,12,44,0,1,138.130879,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,9.018731557807245,0,2,2011-12-05,4,11.049333238685419,0,69,14,94,0,2,159.383042,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
6,8.590610671921175,0,1,2011-02-24,4,10.921431938136783,1,67,0,13,0,9,321.6,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,8.884069962837636,2,3,2011-11-08,2,10.693391533191136,2,101,0,68,0,4,363.02968,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,10.091107714396136,0,2,2011-12-06,3,9.551942286417393,1,71,13,3,0,2,511.2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9,8.907636445657747,1,1,2011-02-17,4,10.268547246009254,2,93,17,7,0,8,425.527834,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
10,8.463579738488644,0,1,2011-02-21,2,10.693391533191136,1,67,23,5,0,3,482.4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,9.011547555062558,0,1,2011-01-06,2,10.693391533191136,1,110,27,87,0,3,528.0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
12,9.08237028691688,2,3,2011-02-06,4,11.251898306178386,2,110,9,82,1,3,472.029737,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
13,9.084665910841313,0,0,2011-01-10,4,11.511374262477492,1,110,23,25,1,8,528.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1
14,8.591267043630738,0,1,2011-11-08,4,11.334862826096648,2,70,21,10,1,8,307.139132,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
15,8.917731432690617,0,2,2011-11-07,4,10.1104610706877,0,64,12,50,1,2,42.920271,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
16,7.850441688700097,0,0,2011-02-06,3,10.1285891855565,1,67,14,7,0,1,454.245098,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
17,8.280265474497215,0,1,2011-01-05,3,10.270038567145066,1,101,12,59,0,1,647.442031,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
18,8.65003263982757,0,1,2011-02-27,4,10.842478669931058,2,72,9,1,0,7,308.981664,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
19,9.007320113818771,2,0,2011-11-04,4,11.099528986535784,1,101,11,21,0,3,484.8,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,7.962781782724634,0,0,2011-02-19,4,10.9638613122168,1,74,31,21,0,1,355.2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
21,8.020201950090282,1,2,2011-12-01,1,9.531626451841742,1,79,8,49,0,1,379.2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
22,10.091107714396136,0,2,2011-12-06,3,9.551942286417393,1,71,13,3,0,2,511.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
23,7.803921258051261,0,2,2011-02-24,2,10.693391533191136,1,73,4,44,1,1,554.376763,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,7.779930218568395,0,2,2011-02-05,1,9.790878608153474,1,61,30,91,0,1,439.2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
25,8.665969336212694,0,1,2011-12-09,4,11.488028081415713,1,72,22,1,0,3,389.185006,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
26,8.280551976359137,2,2,2011-02-28,2,10.693391533191136,1,111,15,47,0,1,799.2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,8.584275332807195,1,3,2011-02-12,1,9.260177606823355,2,139,33,64,0,1,516.237951,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
28,9.465181031124207,2,1,2011-02-02,4,11.368870319974983,1,111,33,54,1,2,532.8,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,8.081895628239009,1,3,2011-02-07,4,11.234401330303212,1,80,17,44,1,1,384.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
30,7.805712388364015,0,1,2011-02-28,4,10.050095572172218,1,63,4,6,1,1,322.294043,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
31,9.85090163939259,1,0,2011-12-02,4,11.097394869378626,2,237,1,14,0,6,615.927769,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
32,8.458572346297702,0,2,2011-12-05,2,10.693391533191136,2,65,19,56,0,3,308.15089,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
